,gender,genderLooking,age,name,counts_details,counts_pictures,counts_profileVisits,counts_kisses,counts_fans,counts_g,flirtInterests_chat,flirtInterests_friends,flirtInterests_date,country,isFlirtstar,isHighlighted,isInfluencer,isMobile,isNew,isOnline,isVip,lang_count,lang_fr,lang_en,lang_de,lang_it,lang_es,lang_pt,verified,shareProfileEnabled,birthd,userId
0,F,M,25,daeni,1.0,4,8279,239,0,3,True,True,True,CH,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,1,0,4e3842f79b70e7ea57000064
1,F,M,22,italiana 92,0.85,5,663,13,0,0,True,True,True,CH,0,0,0,1,0,0,0,3,True,False,True,True,False,False,0,1,0,4e3d34bf5d2bce7b160006a3
2,F,M,21,Lauraaa,0.0,4,1369,88,0,2,False,False,True,CH,0,0,0,0,0,1,0,0,False,False,False,False,False,False,0,1,0,4ec96c090dc82cb25d00000a
3,F,none,20,Qqkwmdowlo,0.12,3,22187,1015,2,3,True,True,False,CA,0,0,0,0,0,0,0,2,True,True,False,False,False,False,0,1,0,4eef8b81ebf2c8f64000000c
4,F,M,21,schaessie {3,0.15,12,35262,1413,9,12,True,False,False,DE,0,0,0,0,0,1,0,1,False,False,True,False,False,False,0,1,0,4ef3cc5aa9d0b3d07d000017
5,F,M,24,Baby dee,0.81,18,7339,180,0,2,True,False,True,DE,0,0,0,1,0,1,0,2,False,True,True,False,False,False,0,1,0,4ef9434cca61bece6a000002
6,F,none,24,Anna,0.65,13,18672,492,0,1,False,True,False,DE,0,0,0,1,0,1,0,5,False,True,True,False,False,False,0,1,0,4f10cbc1883fa97a5f000015
7,F,M,23,Feelinchen,0.81,6,19091,1348,0,20,True,False,True,DE,0,0,0,1,0,0,0,2,False,True,True,False,False,False,0,0,0,4f317525883fa9636900000e
8,F,M,20,chantal,0.88,14,29984,2389,10,11,True,True,True,CH,0,0,0,1,0,0,0,3,True,True,True,False,False,False,0,1,0,4f3516420c84d3dd23000001
9,F,M,24,rina1990,0.81,1,5979,147,1,2,True,True,True,DE,0,0,0,0,0,1,0,2,False,True,True,False,False,False,0,1,0,4fa0fb54883fa90e0d0005d6
10,F,M,22,anniwhat,0.54,3,10450,421,2,4,True,True,False,FR,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,1,0,4fb4198f883fa90e04000031
11,F,both,20,Pierrette,0.92,5,2612,117,0,0,True,True,False,CH,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,1,0,4fc51294ca61be3762000155
12,F,M,22,Nathalie,0.73,22,31736,2102,6,8,True,False,False,DE,0,0,0,1,0,1,0,1,False,False,True,False,False,False,1,1,0,4feb51b7ebf2c82f07002139
13,F,M,20,brava ragazza,0.85,12,32450,787,10,3,True,True,True,CH,0,0,0,1,0,0,0,1,False,False,True,False,False,False,1,0,0,4ff9f4aaebf2c827480007d9
14,F,M,22,Madeline,0.96,4,1710,116,1,1,False,False,True,DE,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,1,0,500aef142d15de056f000480
15,F,M,25,Lia,0.58,13,26842,643,1,4,False,True,True,CH,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,1,0,500ce1722d15de810c0004af
16,F,M,21,Vanessa,0.69,5,31020,1195,0,3,True,False,True,DE,0,0,0,1,0,1,0,1,False,False,True,False,False,False,1,1,0,500ebac6a9d0b30634000f91
17,F,M,22,Je** 🌸,1.0,2,20266,1148,0,4,True,True,True,DE,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,0,0,501960390c84d34875000394
18,F,M,20,Jey,0.04,4,16683,647,0,0,True,False,False,CH,0,0,0,1,0,0,0,1,False,False,True,False,False,False,1,1,0,501a62870c84d32d75000d89
19,F,M,25,tina,0.92,7,3413,86,0,1,True,False,True,CH,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,1,0,5038fbd96f37f3d14400004c
20,F,M,19,mel,0.81,13,8310,143,2,0,True,False,False,CH,0,0,0,0,0,0,0,3,True,True,True,False,False,False,0,1,0,503bd4834ea6e89a5a000123
21,F,M,21,debora,0.62,1,25903,982,0,12,True,True,True,CH,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,1,0,503fc2b8a9d0b3b2480000a8
22,F,M,21,MISHEffect,0.85,27,33018,812,36,5,True,True,True,CH,0,0,0,1,0,0,0,1,False,False,True,False,False,False,1,1,0,50421dc94ea6e83e24000000
23,F,M,22,rebekka1992,0.0,15,2502,25,0,0,True,False,False,DE,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,1,0,50425e986f37f30f26000008
24,F,M,24,🍒SweeT_Cherry🍒,0.19,5,22847,1282,63,7,True,False,False,US,0,0,0,1,0,0,0,4,True,True,True,True,False,False,1,1,0,5043944e6f37f35f6600002d
25,F,none,21,JayJay,1.0,13,7407,125,0,0,True,True,True,CH,0,0,0,1,0,0,0,3,True,True,True,False,False,False,0,1,0,50450b930c84d3d40e0000b6
26,F,both,19,ॐ Mish  Ganja-Girl ॐ,0.88,30,16096,533,6,2,True,True,False,CH,0,0,0,1,0,1,0,2,False,False,True,True,False,False,1,1,0,504b834fa9d0b30a5e000305
27,F,M,22,I_love_soccer,0.88,9,15457,431,0,6,True,True,True,CH,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,1,0,5055c9d1ebf2c85e20000073
28,F,M,20,😊Nadine Jennifer 😊,1.0,18,6962,361,0,0,True,True,True,DE,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,1,0,505b77bfa9d0b35a7f000059
